,MentalHealth,DevType,YearlySalary
8,"Or, in your own words:","Developer, back-end",46000
10,None of the above,"Developer, full-stack;Developer, back-end",48000
12,None of the above,"Developer, full-stack",65000
14,None of the above,"Developer, full-stack;Academic researcher;DevOps specialist",110000
17,None of the above,"Engineer, data",190000
18,None of the above,"Developer, back-end;Developer, desktop or enterprise applications",48000
21,None of the above,"Developer, full-stack",32000
22,None of the above,"Developer, back-end",125000
25,None of the above,"Developer, back-end;Developer, mobile",85000
26,None of the above,"Developer, full-stack;Developer, back-end",106960
28,None of the above,"Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, game or graphics",130000
29,None of the above,"Developer, full-stack",1560000
31,Depression;Anxiety,"Developer, full-stack",102000
40,None of the above,"Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, mobile;Database administrator;Developer, embedded applications or devices;Cloud infrastructure engineer;Data or business analyst;Designer",130000
47,Anxiety,"Developer, full-stack;Developer, back-end",135000
48,None of the above,"Developer, back-end;Developer, desktop or enterprise applications",100000
54,Anxiety,"Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist;Cloud infrastructure engineer",1000000
55,None of the above,"Developer, full-stack;Developer, back-end",141000
57,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end",43800
59,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Student;Developer, embedded applications or devices",60000
60,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Engineering manager;Database administrator;Developer, game or graphics;Project manager;Cloud infrastructure engineer;Designer;Product manager;Senior Executive (C-Suite, VP, etc.);System administrator",85000
62,None of the above,"Developer, back-end;Designer",70000
63,None of the above,"Developer, front-end;Developer, full-stack;Developer, embedded applications or devices;Designer",150000
73,None of the above,"Developer, full-stack;Developer, QA or test;DevOps specialist",60000
74,None of the above,"Developer, full-stack",494400
76,None of the above,"Developer, back-end;Marketing or sales professional",160000
79,Prefer not to say,"Developer, back-end;Engineering manager;Database administrator;DevOps specialist;Cloud infrastructure engineer",82000
84,None of the above,"Developer, full-stack",55000
85,Prefer not to say,"Data scientist or machine learning specialist;Engineer, data;Developer, full-stack;Developer, back-end",95000
87,None of the above,"Developer, back-end;Engineering manager",90000
88,None of the above,"Developer, full-stack",67000
89,None of the above,"Developer, desktop or enterprise applications;Project manager",564000
91,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Cloud infrastructure engineer",60000
93,None of the above,"Developer, front-end",166000
94,None of the above,Data scientist or machine learning specialist;Scientist,42000
95,None of the above,"Developer, embedded applications or devices;Security professional",92000
97,None of the above,"Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist;Data or business analyst",450000
101,None of the above,"Developer, full-stack;Developer, back-end",75000
102,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have learning differences (e.g., Dyslexic, Dyslexia, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, back-end;Student;DevOps specialist;Project manager;System administrator",38000
103,None of the above,"Developer, full-stack",200000
105,None of the above,"Developer, full-stack",87600
107,"Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Data scientist or machine learning specialist;Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Database administrator;Developer, embedded applications or devices",35000
