,MentalHealth,DevType,OrgSize,Country,RemoteWork,YearlySalary
31,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, full-stack","10,000 or more employees",United States of America,Fully remote,102000.0
31,I have an anxiety disorder,"Developer, full-stack","10,000 or more employees",United States of America,Fully remote,102000.0
47,I have an anxiety disorder,"Developer, full-stack","1,000 to 4,999 employees",United States of America,Fully remote,135000.0
47,I have an anxiety disorder,"Developer, back-end","1,000 to 4,999 employees",United States of America,Fully remote,135000.0
54,I have an anxiety disorder,"Developer, back-end",20 to 99 employees,Norway,"Hybrid (some remote, some in-person)",1000000.0
54,I have an anxiety disorder,"Developer, desktop or enterprise applications",20 to 99 employees,Norway,"Hybrid (some remote, some in-person)",1000000.0
54,I have an anxiety disorder,DevOps specialist,20 to 99 employees,Norway,"Hybrid (some remote, some in-person)",1000000.0
54,I have an anxiety disorder,Cloud infrastructure engineer,20 to 99 employees,Norway,"Hybrid (some remote, some in-person)",1000000.0
107,I have an anxiety disorder,Data scientist or machine learning specialist,100 to 499 employees,United States of America,Full in-person,35000.0
107,I have an anxiety disorder,"Developer, front-end",100 to 499 employees,United States of America,Full in-person,35000.0
107,I have an anxiety disorder,"Developer, full-stack",100 to 499 employees,United States of America,Full in-person,35000.0
107,I have an anxiety disorder,"Developer, back-end",100 to 499 employees,United States of America,Full in-person,35000.0
107,I have an anxiety disorder,"Developer, desktop or enterprise applications",100 to 499 employees,United States of America,Full in-person,35000.0
107,I have an anxiety disorder,"Developer, QA or test",100 to 499 employees,United States of America,Full in-person,35000.0
107,I have an anxiety disorder,Database administrator,100 to 499 employees,United States of America,Full in-person,35000.0
107,I have an anxiety disorder,"Developer, embedded applications or devices",100 to 499 employees,United States of America,Full in-person,35000.0
108,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, full-stack",100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,"Hybrid (some remote, some in-person)",60000.0
113,I have an anxiety disorder,"Developer, back-end","1,000 to 4,999 employees",United States of America,"Hybrid (some remote, some in-person)",130000.0
113,I have an anxiety disorder,Database administrator,"1,000 to 4,999 employees",United States of America,"Hybrid (some remote, some in-person)",130000.0
113,I have an anxiety disorder,Project manager,"1,000 to 4,999 employees",United States of America,"Hybrid (some remote, some in-person)",130000.0
113,I have an anxiety disorder,Security professional,"1,000 to 4,999 employees",United States of America,"Hybrid (some remote, some in-person)",130000.0
120,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, full-stack",500 to 999 employees,Canada,Fully remote,85000.0
120,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, back-end",500 to 999 employees,Canada,Fully remote,85000.0
120,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, desktop or enterprise applications",500 to 999 employees,Canada,Fully remote,85000.0
120,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, QA or test",500 to 999 employees,Canada,Fully remote,85000.0
120,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Designer,500 to 999 employees,Canada,Fully remote,85000.0
132,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, full-stack","10,000 or more employees",United States of America,Fully remote,98000.0
132,I have an anxiety disorder,"Developer, full-stack","10,000 or more employees",United States of America,Fully remote,98000.0
133,I have an anxiety disorder,"Developer, back-end",100 to 499 employees,United States of America,Fully remote,144000.0
165,I have an anxiety disorder,"Developer, back-end",500 to 999 employees,United Kingdom of Great Britain and Northern Ireland,"Hybrid (some remote, some in-person)",264000.0
165,I have an anxiety disorder,"Developer, desktop or enterprise applications",500 to 999 employees,United Kingdom of Great Britain and Northern Ireland,"Hybrid (some remote, some in-person)",264000.0
170,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, back-end","1,000 to 4,999 employees",United States of America,Fully remote,400000.0
